UniqueID,Section,Semester,TestControl,LAB_Avg_PI,LAB_grade_Avg,ASSIGN_PI_avg,ASSIGN_grade_Avg,QUIZ_PI_Avg,Quiz_Grade_Avg.,Final_PI_Avg,Final_Grade_Avg,final_weigth_PI
15370586,1112W05,SP23,Test,0.182,60.915,0.667,73.333,0.833,75.555,0.561,69.935,0.412
77961443,1112W05,SP23,Test,0,100.356,0.333,82.667,0,98.194,0.111,93.739,0.1
53413709,1112W05,SP23,Test,0,98.235,0,82.667,0,98.888,0,93.263,0
7576054,1112W05,SP23,Test,0.364,87.102,1,73.833,0.583,94.798,0.649,85.244,0.508
16045563,1112W05,SP23,Test,0,84.312,0,82.5,0,96.944,0,87.919,0
88703043,1112W05,SP23,Test,0.091,74.659,0,71.333,0.25,83.719,0.114,76.571,0.073
66820555,1112W05,SP23,Test,0.364,62.395,0.667,85.167,0.333,98.889,0.455,82.15,0.358
44263836,1112W05,SP23,Test,0,83.72,0,85,0,86.357,0,85.026,0
44700304,1112W05,SP23,Test,0,79.614,0.667,47.333,0.083,81.773,0.25,69.573,0.217
81967002,1112W05,SP23,Test,0,92.105,0.333,82.667,0,96.111,0.111,90.294,0.1
84866501,1112W05,SP23,Test,0.182,65.488,0.333,46.667,0,90.693,0.172,67.616,0.145
21568601,1112W05,SP23,Test,0.727,83.455,1,70,0.75,91.88,0.826,81.778,0.632
84886438,1112W05,SP23,Test,0,88.788,0.333,84.667,0,97.361,0.111,90.272,0.1
5548735,1112W05,SP23,Test,0.273,88.379,0,93.333,0.25,91.133,0.174,90.948,0.118
84588021,1112W05,SP23,Test,0,81.279,0.667,90.667,0.167,86.667,0.278,86.204,0.233
10218310,1112W05,SP23,Test,0.273,83.276,0.333,87.333,0.333,91.859,0.313,87.49,0.235
29194354,1112W05,SP23,Test,0.091,67.702,0.667,93.333,0.083,85.438,0.28,82.158,0.239
36588310,1112W05,SP23,Test,0,87.992,0,75.333,0,97.361,0,86.895,0
49831904,1112W05,SP23,Test,0,85.858,0,72.667,0,94.723,0,84.416,0
82418532,1112W05,SP23,Test,0,93.227,0,83.333,0,95.694,0,90.752,0
96093390,1112W05,SP23,Test,1,51.135,0.333,56.667,0.833,78.718,0.722,62.173,0.517
86742068,1112W05,SP23,Test,0,99.192,0,88,0,98.248,0,95.147,0
25149976,1112W05,SP23,Test,0,80.155,0,88.667,0,99.583,0,89.468,0
73839291,1112W05,SP23,Test,0,74.551,0,70.667,0,89.883,0,78.367,0
52315599,1112W05,SP23,Test,0,88.027,0,91.333,0,96.667,0,92.009,0
9777314,1112W05,SP23,Test,0,94.262,0,80.667,0.167,88.943,0.056,87.957,0.033
66439598,1112W05,SP23,Test,0.727,44.395,0.333,78.667,0.25,91.666,0.437,71.576,0.332
59108036,1112W05,SP23,Test,0.909,73.603,0.333,82,0.917,95.888,0.72,83.83,0.511
58849278,1112W05,SP23,Test,0.818,64.715,0.667,79.167,0.833,91.303,0.773,78.395,0.571
70810783,1112W05,SP23,Test,0,96.492,0,83.833,0,95.833,0,92.053,0
83717350,1112W05,SP23,Test,0.091,97.508,0,93.333,0.083,93.472,0.058,94.771,0.039
11045447,1112W05,SP23,Test,0.364,97.477,0,84,0.25,97.693,0.205,93.057,0.141
28643960,1112W05,SP23,Test,0.091,75.037,0,74.667,0,91.079,0.03,80.261,0.023
349896,1112W05,SP23,Test,0.545,77.172,0.667,77.833,0.167,97.917,0.46,84.307,0.37
30617688,1112W05,SP23,Test,0,73.805,0.333,89.333,0,93.889,0.111,85.676,0.1
65698661,1112W05,SP23,Test,0,84.071,0.333,91.333,0.167,96.25,0.167,90.551,0.133
74952498,1112W05,SP23,Test,0,92.437,0,68,0,93.355,0,84.597,0
67128495,1112W05,SP23,Test,0.273,78.709,0,91.333,0.167,87.639,0.146,85.894,0.102
46760344,1112W05,SP23,Test,0.636,67.414,0.333,48.667,0.583,95.47,0.518,70.517,0.376
84511207,1112W05,SP23,Test,0.818,80.284,0.667,86,0.833,84.444,0.773,83.576,0.571
70215277,1112W05,SP23,Test,0,99.317,0,92.667,0,100,0,97.328,0
11245985,1112W05,SP23,Test,0.091,90.286,0,74.667,0.083,97.5,0.058,87.484,0.039
13536316,1112W05,SP23,Test,0.091,67.462,0,86.5,0.083,90.833,0.058,81.598,0.039
91458610,1112W05,SP23,Test,0.727,89.337,1,84.5,0.583,97.083,0.77,90.307,0.598
76852635,1112W05,SP23,Test,0,95.655,0,90,0,97.276,0,94.31,0
83105217,1112W05,SP23,Test,0.364,80.316,0.333,63.333,0.25,86.805,0.316,76.818,0.241
25402884,1112W05,SP23,Test,0.455,92.843,0.667,86,0.5,98.109,0.54,92.317,0.414
24219804,1112W05,SP23,Test,0.636,78.392,0.333,95.333,0.75,82.917,0.573,85.547,0.409
91641614,1112W05,SP23,Test,0.364,90.004,0,60,0.5,80.555,0.288,76.853,0.191
87933826,1112W05,SP23,Test,0.182,94.037,0,86,0.25,96.358,0.144,92.132,0.095
71841858,1112W05,SP23,Test,0.455,84.726,0.667,78.667,0.583,96.859,0.568,86.751,0.43
